03/01/2014 10:04:56 AM,3,,,,,,,,,,,,,,,,,,
P,20140103,120883432,1,150000,,,,,,,,,,,,,,,
49838672,Reg Jatim  graPARI Surabaya  ,150000,36075 GraPARI Surabaya Pemuda,,,,,,,,,,,,,N,,,N
