26/09/2013 05:00:39 PM,57,,,,,,,,,,,,,,,,,,
P,20130926,120883432,55,550000000,,,,,,,,,,,,,,,
0076045614,Reg Kalimantan graPARI Pontianak,10000000,35302 RELOK Virtual untuk Dana Petty Cash,,,,,,,,,,,,,N,,,N
41027480,Reg Jateng  graPARI  Purwokerto,10000000,35301 RELOK Virtual untuk Dana Petty Cash,,,,,,,,,,,,,N,,,N
0083732743,Reg Kalimantan graPARI Palangkaraya,10000000,35300 RELOK Virtual untuk Dana Petty Cash,,,,,,,,,,,,,N,,,N
25459035,Reg Jabar  graPARI  Tasikmalaya,10000000,35299 RELOK Virtual untuk Dana Petty Cash,,,,,,,,,,,,,N,,,N
0065946178,Reg Kalimantan graPARI Banjarmasin,10000000,35298 RELOK Virtual untuk Dana Petty Cash,,,,,,,,,,,,,N,,,N
25223145,Reg Jabar  graPARI  Cirebon,10000000,35297 RELOK Virtual untuk Dana Petty Cash,,,,,,,,,,,,,N,,,N
0082224719,Reg Kalimantan SO Tarakan,10000000,35296 RELOK Virtual untuk Dana Petty Cash,,,,,,,,,,,,,N,,,N
0084210089,Reg Kalimantan SO Bontang,10000000,35295 RELOK Virtual untuk Dana Petty Cash,,,,,,,,,,,,,N,,,N
24466441,Reg Jabar  graPARI  Bandung,10000000,35294 RELOK Virtual untuk Dana Petty Cash,,,,,,,,,,,,,N,,,N
0076393730, Reg Kalimantan graPARI Balikpapan,10000000,35293 RELOK Virtual untuk Dana Petty Cash,,,,,,,,,,,,,N,,,N
0189364756,Reg Jabotabek Outer graPARI  Karawang,10000000,35292 RELOK Virtual untuk Dana Petty Cash,,,,,,,,,,,,,N,,,N
0041928768,Reg Balinusra  graPARI Mataram,10000000,35291 RELOK Virtual untuk Dana Petty Cash,,,,,,,,,,,,,N,,,N
0189484916,Reg Jabotabek Outer graPARI  Serang,10000000,35290 RELOK Virtual untuk Dana Petty Cash,,,,,,,,,,,,,N,,,N
0044981707,Reg Balinusra  graPARI  Kupang,10000000,35289 RELOK Virtual untuk Dana Petty Cash,,,,,,,,,,,,,N,,,N
0003889029,Reg Jabotabek Outer  graPARI  Bogor,10000000,35288 RELOK Virtual untuk Dana Petty Cash,,,,,,,,,,,,,N,,,N
0014477829,Reg Jabotabek   graPARI  Jakarta Selatan,10000000,35287 RELOK Virtual untuk Dana Petty Cash,,,,,,,,,,,,,N,,,N
57137199,Reg Sumbagut  graPARI Banda Aceh,10000000,35286 RELOK Virtual untuk Dana Petty Cash,,,,,,,,,,,,,N,,,N
